FreqDailyobsdate,SOFRINDEX,SOFR30DAYAVG,SOFR90DAYAVG,SOFR180DAYAVG
2019-10-25,1.03498458,1.887390000000000000,2.104510000000000000,2.27588000000000000
2019-10-28,1.03514328,1.882040000000000000,2.085520000000000000,2.26363000000000000
2019-10-29,1.03519561,1.882040000000000000,2.079160000000000000,2.25959000000000000
2019-10-30,1.03524766,1.881710000000000000,2.070890000000000000,2.25571000000000000
2019-10-31,1.03529999,1.864020000000000000,2.066760000000000000,2.25228000000000000
2019-11-01,1.03535061,1.860010000000000000,2.061960000000000000,2.24852000000000000
2019-11-04,1.03548693,1.834310000000000000,2.042190000000000000,2.23420000000000000
2019-11-05,1.03553180,1.825630000000000000,2.036050000000000000,2.22931000000000000
2019-11-06,1.03557725,1.817620000000000000,2.030240000000000000,2.22465000000000000
2019-11-07,1.03562241,1.808940000000000000,2.024440000000000000,2.21999000000000000
2019-11-08,1.03566729,1.799260000000000000,2.018300000000000000,2.21527000000000000
2019-11-11,#N/A,#N/A,#N/A,#N/A
2019-11-12,1.03584681,1.760540000000000000,1.993060000000000000,2.19611000000000000
2019-11-13,1.03589198,1.751190000000000000,1.986810000000000000,2.19128000000000000
2019-11-14,1.03593716,1.741850000000000000,1.980000000000000000,2.18651000000000000
2019-11-15,1.03598262,1.727830000000000000,1.973860000000000000,2.18180000000000000
2019-11-18,1.03611989,1.690780000000000000,1.955990000000000000,2.16821000000000000
2019-11-19,1.03616479,1.680100000000000000,1.949630000000000000,2.16366000000000000
2019-11-20,1.03620998,1.669750000000000000,1.943710000000000000,2.15916000000000000
2019-11-21,1.03625517,1.660070000000000000,1.937910000000000000,2.15467000000000000
2019-11-22,1.03630065,1.650390000000000000,1.932100000000000000,2.15024000000000000
2019-11-25,1.03643709,1.622690000000000000,1.914690000000000000,2.13671000000000000
2019-11-26,1.03648201,1.613350000000000000,1.908100000000000000,2.13199000000000000
2019-11-27,1.03652634,1.603330000000000000,1.901620000000000000,2.12716000000000000
2019-11-28,#N/A,#N/A,#N/A,#N/A
2019-11-29,1.03661560,1.585640000000000000,1.888460000000000000,2.11661000000000000
2019-12-02,1.03675814,1.578630000000000000,1.871380000000000000,2.10353000000000000
2019-12-03,1.03680508,1.580300000000000000,1.865350000000000000,2.09921000000000000
2019-12-04,1.03684972,1.579300000000000000,1.857980000000000000,2.09444000000000000
2019-12-05,1.03689407,1.578630000000000000,1.850510000000000000,2.08967000000000000
2019-12-06,1.03693872,1.577630000000000000,1.843810000000000000,2.08495000000000000
2019-12-09,1.03707265,1.576300000000000000,1.824050000000000000,2.07086000000000000
2019-12-10,1.03711759,1.576300000000000000,1.817580000000000000,2.06632000000000000
